record_id,delivery_id,package_type,vehicle_type,region,weather_condition,distance_km,distance_group,delivery_time_hours_clean,expected_time_hours_clean,delayed,delivery_status,delivery_rating,delivery_cost
1,250.99,automobile parts,bike,west,clear,297,250+ km,8,8,no,delivered,3,1632.7206
2,250.99,cosmetics,ev van,central,cold,89.6,50–99 km,2,3,no,delivered,5,640.17
3,250.99,groceries,truck,east,rainy,273.5,250+ km,10,16,no,delivered,4,1448.17
4,250.99,electronics,ev van,east,cold,269.7,250+ km,6,8,no,delivered,3,1486.57
5,250.99,clothing,van,north,foggy,256.7,250+ km,9,16,no,delivered,4,1394.56
6,250.99,documents,ev bike,west,rainy,48.4,0–49 km,4,2,yes,delayed,3,391.45
7,250.99,groceries,scooter,central,clear,198.3,150–199 km,6,8,no,delivered,3,1222.87
8,250.99,fragile items,van,north,cold,114.6,100–149 km,4,8,no,delivered,3,800.89
9,250.99,clothing,van,south,hot,142.4,100–149 km,5,8,no,delivered,5,854.18
10,250.99,pharmacy,truck,east,foggy,47.1,0–49 km,3,8,no,delivered,5,423.34
11,250.99,groceries,scooter,east,cold,293.2,250+ km,5,8,no,delivered,4,1632.15
12,250.99,electronics,truck,east,cold,80.4,50–99 km,3,16,no,delivered,5,541.44
13,250.99,pharmacy,ev van,north,rainy,257.7,250+ km,8,16,no,delivered,4,1350.18
14,250.99,cosmetics,bike,east,stormy,19,0–49 km,6,2,yes,failed,1,155.08
15,250.99,automobile parts,ev bike,east,stormy,237.9,200–249 km,12,16,no,delivered,3,1263.27
16,250.99,furniture,ev van,north,hot,239.3,200–249 km,8,6,yes,delayed,3,1281.51
17,250.99,documents,bike,west,stormy,79,50–99 km,10,24,no,delivered,5,397.19
18,250.99,fragile items,ev bike,central,rainy,170.7,150–199 km,11,24,no,delivered,5,990.36
19,250.99,documents,van,north,rainy,90,50–99 km,4,8,no,delivered,3,651.1
20,250.99,cosmetics,truck,north,rainy,64,50–99 km,7,3,yes,failed,2,388.09
21,250.99,automobile parts,scooter,east,foggy,185.9,150–199 km,6,16,no,delivered,4,986.8
22,250.99,electronics,scooter,west,stormy,217.9,200–249 km,9,16,no,delivered,4,1131.74
23,250.99,automobile parts,scooter,north,cold,214.1,200–249 km,6,8,no,delivered,5,1293.05
24,250.99,clothing,bike,central,clear,251.7,250+ km,8,24,no,delivered,4,1363.2
25,250.99,furniture,van,east,foggy,214.9,200–249 km,7,24,no,delivered,5,1091.51
26,250.99,documents,ev van,north,stormy,115.4,100–149 km,6,16,no,delivered,4,578.59
27,250.99,clothing,ev bike,east,foggy,293.8,250+ km,9,7,yes,delayed,3,1632.7206
28,250.99,cosmetics,scooter,east,clear,286.8,250+ km,8,24,no,delivered,3,1574.01
29,250.99,furniture,truck,south,hot,136.1,100–149 km,3,4,no,delivered,5,874.8
30,250.99,furniture,bike,east,rainy,291.4,250+ km,13,16,no,delivered,5,1475.36
